YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,unit_id
2023.0000000000,1882.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/06,,2023/05/08,0.1019910840,0.1400953667,true,NS,,,"20240530",2023_1882,"5"
2023.0000000000,1823.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/06,,2023/05/06,0.2718185868,0.3595123922,true,NS,,,"20240530",2023_1823,"5"
2023.0000000000,583.0000000000,MAFiMS,Sentinel-2,Processed imagery,Human,2023/05/31,2023/05/31,2023/06/06,,2023/06/22,120.8932296100,120.8932296100,,NS,,,"20240530",2023_583,"5"
2023.0000000000,1800.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/11,,2023/04/12,9.8876855251,11.3842187940,true,NS,,,"20240530",2023_1800,"5"
2023.0000000000,1858.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/16,,2023/04/17,8.7503259627,10.1223328030,true,NS,,,"20240530",2023_1858,"5"
2023.0000000000,1812.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/28,,2023/05/09,0.0195721847,0.0286526166,true,NS,,,"20240530",2023_1812,"5"
2023.0000000000,1906.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/20,,2023/05/23,0.0176262931,0.0259084129,true,NS,,,"20240530",2023_1906,"5"
2023.0000000000,1808.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/10,,2023/04/10,0.0503837968,0.0711164942,true,NS,,,"20240530",2023_1808,"5"
2023.0000000000,1886.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/10,,2023/05/05,0.0119010418,0.0177601530,true,NS,,,"20240530",2023_1886,"5"
2023.0000000000,1907.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/31,,2023/05/31,0.2672415800,0.3536904423,true,NS,,,"20240530",2023_1907,"5"
2023.0000000000,1896.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/15,,2023/05/16,0.1264274789,0.1722279922,true,NS,,,"20240530",2023_1896,"5"
2023.0000000000,1807.0000000000,Agency,Ground survey,Direct from GPS,Human,2023/05/08,2023/05/08,2023/05/08,,2023/05/11,118.6657551900,124.1339149500,true,NS,,,"20240530",2023_1807,"5"
2023.0000000000,1814.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/09,0.0187632730,0.0275131865,true,NS,,,"20240530",2023_1814,"5"
2023.0000000000,1892.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/11,,2023/05/11,0.1131192595,0.1547614264,true,NS,,,"20240530",2023_1892,"5"
2023.0000000000,1857.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/11,,2023/04/11,0.3990739882,0.5200593760,true,NS,,,"20240530",2023_1857,"5"
2023.0000000000,1914.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/20,,2023/05/20,0.1776549459,0.2388575548,true,NS,,,"20240530",2023_1914,"5"
2023.0000000000,1909.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/19,,2023/05/24,0.0336681677,0.0482674429,true,NS,,,"20240530",2023_1909,"5"
2023.0000000000,1842.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/10,,2023/05/10,0.2942884640,0.3880404084,true,NS,,,"20240530",2023_1842,"5"
2023.0000000000,1841.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/08,,2023/05/23,0.0918350791,0.1266566261,true,NS,,,"20240530",2023_1841,"5"
2023.0000000000,1854.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/08,,2023/05/09,0.0163750886,0.0241377824,true,NS,,,"20240530",2023_1854,"5"
2023.0000000000,1850.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/05/01,0.4404601778,0.5718111382,true,NS,,,"20240530",2023_1850,"5"
2023.0000000000,1910.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/19,,2023/05/20,0.1427064843,0.1934978937,true,NS,,,"20240530",2023_1910,"5"
2023.0000000000,1817.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/10,,2023/04/14,1.1024999505,1.3814939083,true,NS,,,"20240530",2023_1817,"5"
2023.0000000000,1872.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/12,,2023/05/14,0.2077792373,0.2776764182,true,NS,,,"20240530",2023_1872,"5"
2023.0000000000,1922.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/27,,2023/05/29,0.7991369128,1.0138747571,true,NS,,,"20240530",2023_1922,"5"
2023.0000000000,1827.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/25,,2023/04/25,0.0573973829,0.0806097374,true,NS,,,"20240530",2023_1827,"5"
2023.0000000000,1864.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/21,,2023/04/23,0.0557611349,0.0783992094,true,NS,,,"20240530",2023_1864,"5"
2023.0000000000,1888.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/29,2.3171829529,2.8215222403,true,NS,,,"20240530",2023_1888,"5"
2023.0000000000,1876.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/29,0.0160074856,0.0236165966,true,NS,,,"20240530",2023_1876,"5"
2023.0000000000,1834.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/19,,2023/04/19,0.1438485689,0.1949864806,true,NS,,,"20240530",2023_1834,"5"
2023.0000000000,1902.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/23,0.0713639693,0.0993858722,true,NS,,,"20240530",2023_1902,"5"
2023.0000000000,1853.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/09,,2023/05/09,0.0463192862,0.0655919930,true,NS,,,"20240530",2023_1853,"5"
2023.0000000000,1821.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/14,,2023/04/15,0.5420656875,0.6981029999,true,NS,,,"20240530",2023_1821,"5"
2023.0000000000,1830.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/13,,2023/04/16,6.2157037195,7.2858137187,true,NS,,,"20240530",2023_1830,"5"
2023.0000000000,1820.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/14,,2023/04/14,0.2464515206,0.3271959911,true,NS,,,"20240530",2023_1820,"5"
2023.0000000000,1813.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/06,,2023/05/09,0.0051358483,0.0079169311,true,NS,,,"20240530",2023_1813,"5"
2023.0000000000,1837.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/25,0.0137306571,0.0203777669,true,NS,,,"20240530",2023_1837,"5"
2023.0000000000,1903.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/23,0.0141923005,0.0210360362,true,NS,,,"20240530",2023_1903,"5"
2023.0000000000,1873.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/10,,2023/05/13,0.0098710363,0.0148374251,true,NS,,,"20240530",2023_1873,"5"
2023.0000000000,1859.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/16,,2023/04/17,1.2230110970,1.5263790946,true,NS,,,"20240530",2023_1859,"5"
2023.0000000000,1869.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/29,0.7876779393,0.9998937048,true,NS,,,"20240530",2023_1869,"5"
2023.0000000000,1879.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/07,,2023/04/07,0.1385500207,0.1880764707,true,NS,,,"20240530",2023_1879,"5"
2023.0000000000,1911.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/27,,,0.3403796468,0.4463021872,true,NS,,,"20240530",2023_1911,"5"
2023.0000000000,1822.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/16,,2023/04/16,0.4355216053,0.5656458698,true,NS,,,"20240530",2023_1822,"5"
2023.0000000000,1819.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/13,,2023/04/13,0.2143929650,0.2861688010,true,NS,,,"20240530",2023_1819,"5"
2023.0000000000,1900.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/25,,2023/05/26,0.0817028213,0.1131919265,true,NS,,,"20240530",2023_1900,"5"
2023.0000000000,1904.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/23,0.0059101191,0.0090612426,true,NS,,,"20240530",2023_1904,"5"
2023.0000000000,1895.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/06/01,,2023/06/01,0.0611355475,0.0856508921,true,NS,,,"20240530",2023_1895,"5"
2023.0000000000,1866.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/26,,2023/04/27,2.0399305639,2.4961696336,true,NS,,,"20240530",2023_1866,"5"
2023.0000000000,1865.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/07,0.4129275461,0.5374047473,true,NS,,,"20240530",2023_1865,"5"
2023.0000000000,1803.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/04/30,0.4913289463,0.6351653311,true,NS,,,"20240530",2023_1803,"5"
2023.0000000000,1816.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/12,,2023/05/13,0.2784945308,0.3679974262,true,NS,,,"20240530",2023_1816,"5"
2023.0000000000,1923.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/30,,2023/05/30,0.4696558097,0.6082052176,true,NS,,,"20240530",2023_1923,"5"
2023.0000000000,1809.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/30,0.0521611294,0.0735267677,true,NS,,,"20240530",2023_1809,"5"
2023.0000000000,1863.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/23,0.0910103727,0.1255629104,true,NS,,,"20240530",2023_1863,"5"
2023.0000000000,1802.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/05/05,0.0102043478,0.0153187924,true,NS,,,"20240530",2023_1802,"5"
2023.0000000000,1877.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/18,,2023/05/31,0.0328356910,0.0471194845,true,NS,,,"20240530",2023_1877,"5"
2023.0000000000,1861.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/29,0.0073243601,0.0111369430,true,NS,,,"20240530",2023_1861,"5"
2023.0000000000,1836.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/23,,2023/04/23,3.5991456359,4.3086712660,true,NS,,,"20240530",2023_1836,"5"
2023.0000000000,1860.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/17,,2023/05/15,0.2976814876,0.3923407669,true,NS,,,"20240530",2023_1860,"5"
2023.0000000000,1815.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/15,0.1315739144,0.1789630697,true,NS,,,"20240530",2023_1815,"5"
2023.0000000000,1919.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/30,0.0335293742,0.0480761279,true,NS,,,"20240530",2023_1919,"5"
2023.0000000000,1921.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/28,,2023/05/29,0.4448834638,0.5773308629,true,NS,,,"20240530",2023_1921,"5"
2023.0000000000,1897.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/27,0.1441605164,0.1953929919,true,NS,,,"20240530",2023_1897,"5"
2023.0000000000,1852.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/08,0.0932402368,0.1285192584,true,NS,,,"20240530",2023_1852,"5"
2023.0000000000,1851.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/24,0.3255687317,0.4276156997,true,NS,,,"20240530",2023_1851,"5"
2023.0000000000,1887.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/18,,2023/05/04,0.2253369832,0.3001994677,true,NS,,,"20240530",2023_1887,"5"
2023.0000000000,1831.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/15,,2023/04/16,2.9048119163,3.5063367732,true,NS,,,"20240530",2023_1831,"5"
2023.0000000000,1811.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/29,0.0374056338,0.0534081772,true,NS,,,"20240530",2023_1811,"5"
2023.0000000000,1804.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/13,,2023/04/17,0.3498180539,0.4581938951,true,NS,,,"20240530",2023_1804,"5"
2023.0000000000,1829.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/28,,2023/04/28,0.1535444020,0.2076059766,true,NS,,,"20240530",2023_1829,"5"
2023.0000000000,1824.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/05/03,0.4884959213,0.6316438648,true,NS,,,"20240530",2023_1824,"5"
2023.0000000000,1901.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/28,,2023/05/28,0.3270486958,0.4294843775,true,NS,,,"20240530",2023_1901,"5"
2023.0000000000,1826.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/09,,2023/04/10,1.6027180500,1.9795117059,true,NS,,,"20240530",2023_1826,"5"
2023.0000000000,584.0000000000,MAFiMS,Sentinel-2,Processed imagery,Human,,,2023/06/21,,2023/06/22,118.2697415500,118.2697415500,,NS,,,"20240530",2023_584,"5"
2023.0000000000,1825.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/09,,2023/04/09,0.7426590954,0.9448892124,true,NS,,,"20240530",2023_1825,"5"
2023.0000000000,1899.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/24,,2023/05/25,0.6647373065,0.8493740020,true,NS,,,"20240530",2023_1899,"5"
2023.0000000000,1790.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/03/22,,2023/03/22,0.8742707087,1.1053586801,true,NS,,,"20240530",2023_1790,"5"
2023.0000000000,1797.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/15,,2023/04/16,2.7512368807,3.3279274207,true,NS,,,"20240530",2023_1797,"5"
2023.0000000000,1915.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/24,,2023/05/24,0.9366211765,1.1810460823,true,NS,,,"20240530",2023_1915,"5"
2023.0000000000,1916.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/19,,2023/06/06,0.0886016838,0.1223663329,true,NS,,,"20240530",2023_1916,"5"
2023.0000000000,1926.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/24,,2023/05/24,3.7890322952,4.5270016993,true,NS,,,"20240530",2023_1926,"5"
2023.0000000000,1889.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/30,0.0916175417,0.1263681676,true,NS,,,"20240530",2023_1889,"5"
2023.0000000000,1796.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/14,,2023/04/15,0.7608651066,0.9671485767,true,NS,,,"20240530",2023_1796,"5"
2023.0000000000,1798.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/15,,2023/04/16,1.9184872060,2.3531314773,true,NS,,,"20240530",2023_1798,"5"
2023.0000000000,1794.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/11,,2023/04/11,1.1595851676,1.4501972521,true,NS,,,"20240530",2023_1794,"5"
2023.0000000000,1875.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/23,,2023/05/24,0.1019409588,0.1400291707,true,NS,,,"20240530",2023_1875,"5"
2023.0000000000,1799.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/22,1.9424874847,2.3814264636,true,NS,,,"20240530",2023_1799,"5"
2023.0000000000,1870.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/29,0.0566162804,0.0795547961,true,NS,,,"20240530",2023_1870,"5"
2023.0000000000,1839.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/01,,2023/05/01,1.9592706609,2.4012048662,true,NS,,,"20240530",2023_1839,"5"
2023.0000000000,1891.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/27,,2023/05/28,0.1922443266,0.2576870642,true,NS,,,"20240530",2023_1891,"5"
2023.0000000000,1856.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/23,,2023/04/24,1.0463397232,1.3137697097,true,NS,,,"20240530",2023_1856,"5"
2023.0000000000,1885.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/09,,2023/04/12,0.6576258038,0.8406360319,true,NS,,,"20240530",2023_1885,"5"
2023.0000000000,1801.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/04/30,38.8661926170,42.4465008080,true,NS,,,"20240530",2023_1801,"5"
2023.0000000000,1925.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/25,,2023/04/30,1.1984210702,1.4968621820,true,NS,,,"20240530",2023_1925,"5"
2023.0000000000,1867.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/04/29,1.2079724221,1.5083300034,true,NS,,,"20240530",2023_1867,"5"
2023.0000000000,1793.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/03/31,,2023/04/04,2.6773086961,3.2419086140,true,NS,,,"20240530",2023_1793,"5"
2023.0000000000,1833.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/16,,2023/04/16,11.0582696440,12.6771245490,true,NS,,,"20240530",2023_1833,"5"
2023.0000000000,1924.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/09,,2023/05/11,1.4475847014,1.7949442056,true,NS,,,"20240530",2023_1924,"5"
2023.0000000000,1898.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/24,,2023/05/24,1.1566186503,1.4466302525,true,NS,,,"20240530",2023_1898,"5"
2023.0000000000,1905.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/23,0.0078136108,0.0118512593,true,NS,,,"20240530",2023_1905,"5"
2023.0000000000,1845.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/14,,2023/04/14,0.1613258730,0.2177115346,true,NS,,,"20240530",2023_1845,"5"
2023.0000000000,1878.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/10,,2023/05/11,0.2500387708,0.3317734776,true,NS,,,"20240530",2023_1878,"5"
2023.0000000000,1868.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/29,,2023/04/29,0.7345354753,0.9349501989,true,NS,,,"20240530",2023_1868,"5"
2023.0000000000,1920.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/28,,2023/05/29,0.5654497530,0.7270325436,true,NS,,,"20240530",2023_1920,"5"
2023.0000000000,1918.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/12,,2023/05/14,0.1283135586,0.1746974876,true,NS,,,"20240530",2023_1918,"5"
2023.0000000000,1912.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/28,,2023/05/30,7.1839568718,8.3738547017,true,NS,,,"20240530",2023_1912,"5"
2023.0000000000,1908.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/12,,2023/05/15,5.6645518829,6.6636058478,true,NS,,,"20240530",2023_1908,"5"
2023.0000000000,1862.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/12,,2023/05/12,0.0510303729,0.0719937018,true,NS,,,"20240530",2023_1862,"5"
2023.0000000000,1844.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/16,,2023/05/16,1.6376893832,2.0210206735,true,NS,,,"20240530",2023_1844,"5"
2023.0000000000,1890.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/23,,2023/05/20,0.5555623915,0.7148061627,true,NS,,,"20240530",2023_1890,"5"
2023.0000000000,1881.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/07,,2023/05/08,1.3492943968,1.6776138636,true,NS,,,"20240530",2023_1881,"5"
2023.0000000000,1883.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/10,,2023/05/10,2.1311467912,2.6033886854,true,NS,,,"20240530",2023_1883,"5"
2023.0000000000,1846.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/14,,2023/05/14,0.1492622342,0.2020364825,true,NS,,,"20240530",2023_1846,"5"
2023.0000000000,1805.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/22,,2023/04/22,2.0702157358,2.5317881047,true,NS,,,"20240530",2023_1805,"5"
2023.0000000000,1847.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/25,,2023/04/27,11.8469532910,13.5452109920,true,NS,,,"20240530",2023_1847,"5"
2023.0000000000,1917.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/29,,2023/05/30,1.0940021430,1.3712550311,true,NS,,,"20240530",2023_1917,"5"
2023.0000000000,1848.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/30,,2023/04/29,9.3921253546,10.8351301150,true,NS,,,"20240530",2023_1848,"5"
2023.0000000000,1894.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/30,,2023/05/31,7.2105497660,8.4036540406,true,NS,,,"20240530",2023_1894,"5"
2023.0000000000,1913.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/05/15,,2023/05/16,7.8668946982,9.1378328940,true,NS,,,"20240530",2023_1913,"5"
2023.0000000000,1840.0000000000,Agency,Ground survey,Direct from GPS,Human,,,2023/04/10,,,0.5613581827,0.7219740532,true,NS,,,"20240530",2023_1840,"5"
2023.0000000000,582.0000000000,MAFiMS,Sentinel-2,Processed imagery,Human,2023/05/27,2023/06/02,2023/05/27,,2023/06/22,20264.7917850000,20264.7917850000,,NS,,,"20240530",2023_582,"5"
2023.0000000000,588.0000000000,MAFiMS,Landsat,Processed imagery,Undetermined,2023/05/06,2023/05/06,,,2023/05/22,1098.5005304000,1098.5005304000,,NB,,,"20240530",2023_588,"7"
2023.0000000000,587.0000000000,MAFiMS,Landsat,Processed imagery,Undetermined,2023/05/07,2023/05/07,,,2023/05/22,1179.4108375000,1179.4108375000,,NB,,,"20240530",2023_587,"7"
2023.0000000000,1933.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/04/15,2023/04/15,,0.0323937020,0.0323937020,,QC,,,"20240530",2023_1933,"11"
2023.0000000000,1939.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/06,2023/05/07,,27.0993828430,27.0993828430,,QC,,,"20240530",2023_1939,"11"
2023.0000000000,1963.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/14,2023/05/14,,0.0133930971,0.0133930971,,QC,,,"20240530",2023_1963,"11"
2023.0000000000,1996.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/31,2023/05/31,,0.0751345787,0.0751345787,,QC,,,"20240530",2023_1996,"11"
2023.0000000000,1940.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/06,2023/05/07,,2.6542921947,2.6542921947,,QC,,,"20240530",2023_1940,"11"
2023.0000000000,2028.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/06/02,2023/06/04,,0.2883837656,0.2883837656,,QC,,,"20240530",2023_2028,"11"
2023.0000000000,1967.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/19,2023/05/20,,0.2417145051,0.2417145051,,QC,,,"20240530",2023_1967,"11"
2023.0000000000,1966.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/19,2023/05/21,,2.2137757390,2.2137757390,,QC,,,"20240530",2023_1966,"11"
2023.0000000000,1931.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/04/15,2023/04/15,,0.0955903067,0.0955903067,,QC,,,"20240530",2023_1931,"11"
2023.0000000000,1949.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/10,2023/05/10,,7.3873001077,7.3873001077,,QC,,,"20240530",2023_1949,"11"
2023.0000000000,1976.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/27,2023/05/28,,1.5287654217,1.5287654217,,QC,,,"20240530",2023_1976,"11"
2023.0000000000,1932.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/04/15,2023/04/15,,0.3783671372,0.3783671372,,QC,,,"20240530",2023_1932,"11"
2023.0000000000,1983.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/28,2023/05/29,,4.7523755134,4.7523755134,,QC,,,"20240530",2023_1983,"11"
2023.0000000000,1945.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/09,2023/05/09,,0.3574007450,0.3574007450,,QC,,,"20240530",2023_1945,"11"
2023.0000000000,1956.0000000000,Agency,Satellite undefined,Processed imagery,Human,,,2023/05/14,2023/05/15,,0.0949487032,0.0949487032,,QC,,,"20240530",2023_1956,"12"
