Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median
58.039243,-121.2437568,74,2023,1406,Agency,Ground survey,Direct from GPS,Natural,2023-07-08,2023-07-08,2023-06-16,2023-07-19,,51.88873501,56.04028733,TRUE,BC,,,20240530,2023_1406,538.92099,101.900002
54.63734907,-72.35013384,75,2023,2073,Agency,Sentinel-2,Manually delineated,Natural,2023-07-08,2023-07-08,2023-07-05,2023-08-03,,92.7196179,92.7196179,,QC,,,20240530,2023_2073,232.053002,67.299
56.00829865,-109.2416035,76,2023,1641,MAFiMS,Landsat,Processed imagery,Natural,2023-09-22,2023-09-24,2023-09-19,2023-10-11,2023-10-08,718.797521,718.797521,,SK,,,20240530,2023_1641,539.316498,94.48
55.63277845,-106.4066341,77,2023,656,MAFiMS,Landsat,Processed imagery,Natural,2023-09-26,2023-09-27,2023-09-24,2023-10-05,2023-10-08,245.101685,245.101685,,SK,,,20240530,2023_656,590.645996,110.161003
50.79499803,-122.539672,78,2023,813,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-22,2023-08-18,2023-07-12,2023-09-29,2023-09-15,238.9440555,238.9440555,,BC,,,20240530,2023_813,525.421997,89.879997
56.6634916,-91.72685608,79,2023,147,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-10,2023-07-03,2023-06-10,,2023-08-07,969.9726844,969.9726844,,MB,,,20240530,2023_147,187.815002,38.001
47.68362128,-74.06099166,80,2023,492,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-02,2023-06-04,2023-06-01,2023-06-30,2023-07-16,228.9643103,228.9643103,,QC,,,20240530,2023_492,74.537003,36.377998
55.64338659,-126.7243129,81,2023,814,MAFiMS,Landsat,Processed imagery,Natural,2023-07-08,2023-08-23,2023-07-08,2023-11-21,2023-09-15,2046.798568,2046.798568,,BC,,,20240530,2023_814,394.632996,94.627998
57.49625425,-121.6481351,82,2023,359,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-02-06,2023-10-20,2023-05-12,,2023-10-13,465633.3867,465633.3867,,BC,,,20240530,2023_359,393.295013,81.753498
46.56223667,-81.80888077,83,2023,211,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-04,2023-06-07,2023-06-02,2023-07-13,2023-06-30,177.8563448,177.8563448,,ON,,,20240530,2023_211,156.714005,66.417
54.53148472,-77.83872561,84,2023,579,MAFiMS,Landsat,Processed imagery,Natural,2023-06-22,2023-07-15,2023-06-21,2023-08-18,2023-08-20,26871.46332,26871.46332,,QC,,,20240530,2023_579,254.093994,89.035004
59.88464026,-108.9471752,85,2023,987,Agency,Satellite hotspots,Manually delineated,Natural,2023-05-23,2023-05-23,2023-05-23,2023-05-29,,88.42750983,93.55809711,TRUE,SK,,,20240530,2023_987,238.815498,71.997501
61.38020325,-139.1178957,86,2023,2083,Agency,Satellite hotspots,Manually delineated,Human,2023-05-17,2023-05-17,2023-05-15,2023-05-22,,399.8679593,399.1387091,TRUE,YT,,,20240530,2023_2083,151.362503,38.140501
49.0466338,-75.82412791,87,2023,1977,Agency,Satellite undefined,Processed imagery,Human,2023-05-27,2023-05-28,2023-05-27,2023-07-05,,83.52817329,83.52817329,,QC,,,20240530,2023_1977,81.534,28.3095
54.18619563,-124.9297061,88,2023,1273,Agency,Undefined,Manually delineated,Natural,2023-07-11,2023-07-11,2023-07-11,2023-08-11,,10.71118583,12.29434912,TRUE,BC,,,20240530,2023_1273,615.188995,122.256001
53.93891633,-103.8307386,89,2023,1016,Agency,Satellite hotspots,Buffered points,Natural,2023-09-13,2023-09-27,2023-09-25,2023-09-30,,152.2741306,157.765576,TRUE,SK,,,20240530,2023_1016,515.170502,75.0765
58.34408392,-113.6735559,90,2023,2127,Agency,Undefined,Undefined,Natural,2023-06-30,2023-06-30,2023-07-03,,,3.248638467,3.904472228,TRUE,PC,WB,,20240530,2023_2127,373.967987,85.290001
55.83705794,-121.8507799,91,2023,1483,Agency,Ground survey,Direct from GPS,Human,2023-04-29,2023-04-29,2023-04-28,2023-05-30,,106.9747206,112.3529028,TRUE,BC,,,20240530,2023_1483,296.638993,21.044001
61.17136285,-135.8792267,92,2023,2109,Agency,Landsat,Manually delineated,Undetermined,2023-08-24,2023-08-28,2023-08-06,2023-11-27,,162.6234359,162.6234359,,YT,,,20240530,2023_2109,518.934021,68.681999
46.83748972,-76.94879646,93,2023,2012,Agency,Satellite undefined,Processed imagery,Natural,2023-06-02,2023-06-03,2023-06-01,2023-07-01,,88.0340567,88.0340567,,QC,,,20240530,2023_2012,100.102497,54.418999
52.35698542,-115.8962518,94,2023,1754,Agency,Sentinel-2,Processed imagery,Natural,2023-05-05,2023-05-05,2023-05-04,,2023-05-09,64.47747999,64.47747999,,AB,,,20240530,2023_1754,175.063004,43.639999
56.13493712,-118.3094656,95,2023,1711,Agency,Undefined,Manually delineated,Undetermined,2023-05-05,2023-05-06,2023-05-05,,2023-05-06,802.4016095,779.7001703,TRUE,AB,,,20240530,2023_1711,318.708511,58.329001
51.22303077,-121.5631191,96,2023,1267,Agency,Ground survey,Direct from GPS,Human,2023-04-28,2023-04-28,2023-04-28,2023-05-10,,10.95801813,12.56661215,TRUE,BC,,,20240530,2023_1267,353.944504,45.007
52.10092027,-89.27010051,97,2023,1625,Agency,Undefined,Undefined,Natural,2023-06-07,2023-06-10,2023-06-05,2023-07-13,,825.5054272,690.892301,TRUE,ON,,,20240530,2023_1625,156.955498,51.2705
48.64784651,-77.63269944,98,2023,1990,Agency,Satellite undefined,Processed imagery,Human,2023-05-30,2023-05-30,2023-05-30,2023-06-01,,13.87896718,13.87896718,,QC,,,20240530,2023_1990,121.362999,45.917999
49.6068608,-119.9499224,99,2023,1477,Agency,Aerial survey,Direct from GPS,Natural,2023-07-21,2023-07-21,2023-07-21,2023-07-30,,8.593784568,9.948173497,TRUE,BC,,,20240530,2023_1477,532.220001,129.035004
54.62744966,-125.1284787,100,2023,1183,Agency,Satellite undefined,Manually delineated,Natural,2023-07-20,2023-09-03,2023-07-15,,,121.9009896,121.9009896,,BC,,,20240530,2023_1183,588.580017,101.824997
50.1965607,-126.256344,101,2023,1337,Agency,Undefined,Manually delineated,Natural,2023-08-27,2023-08-27,2023-08-06,2023-11-10,,17.536315,19.74899338,TRUE,BC,,,20240530,2023_1337,349.82901,59.136002
56.45379533,-116.1698765,102,2023,1730,Agency,Ground survey,Direct from GPS,Human,2023-07-01,2023-07-01,2023-06-28,,2023-07-03,101.2724893,106.5890467,TRUE,AB,,,20240530,2023_1730,422.152497,70.275501
62.79610578,-132.6186675,103,2023,947,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-07-14,2023-08-28,2023-07-13,2023-09-29,2023-08-15,1396.442925,1396.442925,,YT,,,20240530,2023_947,385.157013,73.783997
54.90518208,-116.7000452,104,2023,713,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-02-06,2023-06-12,,,2023-06-30,6823.047825,6823.047825,,AB,,,20240530,2023_713,248.513,57.955502
48.76951865,-75.24135258,105,2023,513,MAFiMS,Landsat,Processed imagery,Natural,2023-06-02,2023-06-04,2023-06-01,2023-07-09,2023-08-01,1960.320452,1960.320452,,QC,,,20240530,2023_513,98.083,41.207001
46.82953369,-72.73232905,106,2023,1997,Agency,Satellite undefined,Processed imagery,Natural,2023-06-03,2023-06-03,2023-06-01,2023-06-10,,13.77195667,13.77195667,,QC,,,20240530,2023_1997,111.484001,44.582001
53.37249852,-123.167922,107,2023,1222,Agency,Aerial survey,Direct from GPS,Natural,2023-07-12,2023-07-12,2023-07-12,2023-07-29,,38.0077642,41.54478282,TRUE,BC,,,20240530,2023_1222,519.69101,114.063499
53.30747298,-120.1016764,108,2023,745,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-05,2023-05-25,2023-05-04,2023-08-09,2023-06-15,1056.006007,1056.006007,,BC,,,20240530,2023_745,176.880005,53.372002
53.6173031,-115.1003439,109,2023,708,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-04-29,2023-05-17,2023-04-29,,2023-06-15,6030.034469,6030.034469,,AB,,,20240530,2023_708,324.225998,57.114
44.72877127,-63.83392966,110,2023,581,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-28,2023-05-29,2023-05-28,,2023-06-22,817.7683882,817.7683882,,NS,,,20240530,2023_581,92.492996,29.063999
54.39538579,-63.05452485,111,2023,591,MAFiMS,Landsat,Processed imagery,Undetermined,2023-07-10,2023-07-13,,,2023-08-22,647.9808035,647.9808035,,NL,,,20240530,2023_591,123.903,29.203501
55.89908766,-123.1272794,112,2023,898,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-06,2023-09-11,2023-06-04,,2023-10-08,569.2783545,569.2783545,,BC,,,20240530,2023_898,510.765,103.278
52.7613176,-96.327277,113,2023,104,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-24,2023-08-14,2023-07-05,,2023-09-02,8906.141346,8906.141346,,MB,,,20240530,2023_104,372.218506,75.042
55.72861375,-127.2578646,114,2023,817,MAFiMS,Landsat,Processed imagery,Undetermined,2023-07-12,2023-08-29,2023-07-12,2023-11-21,2023-09-15,226.1383407,226.1383407,,BC,,,20240530,2023_817,479.082001,91.504997
56.00409794,-116.5233676,115,2023,365,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-05-05,2023-10-10,,,2023-10-21,113087.8818,113087.8818,,AB,,,20240530,2023_365,363.692993,73.799004
65.30983024,-109.6474833,116,2023,233,MAFiMS,Sentinel-2,Processed imagery,Undetermined,2023-07-24,2023-08-09,,,2023-08-30,790.3335232,790.3335232,,NU,,,20240530,2023_233,386.718994,109.289001
50.78863998,-121.8864619,117,2023,758,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-07-16,2023-07-31,2023-07-15,2023-09-29,2023-08-15,401.7099451,401.7099451,,BC,,,20240530,2023_758,469.82901,111.707001
51.97362384,-99.64187887,118,2023,372,MAFiMS,Landsat,Processed imagery,Human,2023-05-03,2023-05-03,2023-05-04,,2023-05-15,847.6838516,847.6838516,,MB,,,20240530,2023_372,114.331001,23.579001
56.56431625,-121.2544382,119,2023,895,MAFiMS,Sentinel-2,Processed imagery,Human,2023-05-02,2023-09-22,2023-05-05,,2023-06-16,27604.8661,27604.8661,,BC,,,20240530,2023_895,352.149994,87.436997
58.55643699,-121.637603,120,2023,356,MAFiMS,Sentinel-2,Processed imagery,Natural,2023-06-23,2023-09-24,2023-06-28,,2023-10-08,63591.03683,63591.03683,,BC,,,20240530,2023_356,655.229004,127.675503
